event,candidate_a,candidate_b,candidate_c,chosen_file,author,url,license,sha256,status
Vehicle.EngineStart,loop_0.wav,loop_1.wav,loop_2.wav,EVT_Vehicle_EngineStart_CHOSEN.wav,domasx2,https://opengameart.org/content/racing-car-engine-sound-loops,CC0,69D74B106509037CE547429E4C3F9AE906B0FFFE88D0BB8B3B5A8B0CFC239048,INTEGRATED
Vehicle.EngineIdle,loop_0.wav,loop_1.wav,loop_2.wav,LOOP_Vehicle_EngineIdle_CHOSEN.wav,domasx2,https://opengameart.org/content/racing-car-engine-sound-loops,CC0,69D74B106509037CE547429E4C3F9AE906B0FFFE88D0BB8B3B5A8B0CFC239048,INTEGRATED
Vehicle.EngineDrive,loop_3.wav,loop_4.wav,loop_5.wav,LOOP_Vehicle_EngineDrive_CHOSEN.wav,domasx2,https://opengameart.org/content/racing-car-engine-sound-loops,CC0,015AEE5CD2DEC394B28FF0994360C780CFBE29C3CDDFB16DBA8DF81B4A68EEA2,INTEGRATED
Vehicle.AccelerationLoad,loop_3.wav,loop_4.wav,loop_5.wav,LOOP_Vehicle_AccelerationLoad_CHOSEN.wav,domasx2,https://opengameart.org/content/racing-car-engine-sound-loops,CC0,015AEE5CD2DEC394B28FF0994360C780CFBE29C3CDDFB16DBA8DF81B4A68EEA2,INTEGRATED
Vehicle.CollisionLight,qubodup-crash.ogg,impactMetal_light_002.ogg,impactGeneric_light_002.ogg,EVT_Vehicle_CollisionLight_REALISTIC_CHOSEN.ogg,qubodup,https://opengameart.org/content/crash-collision,CC0,E468EE00A6C94313CF4EFCF347B5F4E51E98E629608BE277A8F58FEB5E2267FF,INTEGRATED
Vehicle.CollisionHeavy,dragon-studio-car-crash-sound-effect-376874.mp3,impactMetal_heavy_002.ogg,impactPunch_heavy_002.ogg,EVT_Vehicle_CollisionHeavy_REALISTIC_CHOSEN.mp3,DRAGON-STUDIO,https://pixabay.com/sound-effects/film-special-effects-car-crash-sound-effect-376874/,Pixabay Content License,1DC7035E820C102BF315D92589A424EEC4FF629A9976BD336262497D52D0ABF1,INTEGRATED
Vehicle.Respawn,maximize_004.ogg,maximize_003.ogg,open_004.ogg,EVT_Vehicle_Respawn_CHOSEN.ogg,Kenney,https://kenney.nl/assets/interface-sounds,CC0,59C7A24B204BE24D2A44A86D1E4D18C2CF51FA0446967A14B2590E8FB3AFAF34,INTEGRATED
Vehicle.Landing,impactSoft_heavy_002.ogg,impactSoft_heavy_001.ogg,impactGeneric_light_004.ogg,EVT_Vehicle_Landing_CHOSEN.ogg,Kenney,https://kenney.nl/assets/impact-sounds,CC0,D130AE541951243D3F6ED963D0057450A445FFE117FBF9A084D34EB1635CB563,INTEGRATED
Race.CountdownTick,tick_001.ogg,tick_002.ogg,tick_004.ogg,EVT_Race_CountdownTick_CHOSEN.ogg,Kenney,https://kenney.nl/assets/interface-sounds,CC0,9D057B918024C787BBE6C00BEED13A7EF72A3FA0C259ADD3CEF36582792F4230,INTEGRATED
Race.StartedGo,Go.wav,go_go.wav,confirmation_004.ogg,EVT_Race_StartedGo_VOICE_NORMALIZED_CHOSEN.wav,owly-bee,https://freesound.org/people/owly-bee/sounds/415341/,CC-BY-4.0,322D012C88FB5F2538898B04CED203680F44424730F7DE4E8DB0B8C4FA1EC807,INTEGRATED
Race.CheckpointPassed,select_003.ogg,select_005.ogg,pluck_001.ogg,EVT_Race_CheckpointPassed_CHOSEN.ogg,Kenney,https://kenney.nl/assets/interface-sounds,CC0,9A612FD2F513D52A296906B41071C990F75DEFE56BE3BEE60D2D4E2423B51B8B,INTEGRATED
Race.LapChanged,confirmation_002.ogg,confirmation_001.ogg,confirmation_003.ogg,EVT_Race_LapChanged_CHOSEN.ogg,Kenney,https://kenney.nl/assets/interface-sounds,CC0,33B17A9A9A2397C62B285C52C33A907FDFFB476909C99E42DDE603F6A7A8B12C,INTEGRATED
Race.Finished,bong_001.ogg,confirmation_002.ogg,maximize_007.ogg,EVT_Race_Finished_CHOSEN.ogg,Kenney,https://kenney.nl/assets/interface-sounds,CC0,D21D0F0B782445DB579D11E2506B24CD1AC9D664EE33AEAF807761AA7B6FD710,INTEGRATED
Race.NewRecord,confirmation_001.ogg,confirmation_004.ogg,maximize_009.ogg,EVT_Race_NewRecord_CHOSEN.ogg,Kenney,https://kenney.nl/assets/interface-sounds,CC0,063564703B6094D70718A3E787A55CC9141611E4ECD6B6637F8828F79B4A8C3A,INTEGRATED
Race.InvalidCheckpoint,error_003.ogg,error_002.ogg,error_005.ogg,EVT_Race_InvalidCheckpoint_CHOSEN.ogg,Kenney,https://kenney.nl/assets/interface-sounds,CC0,885B28175C7B511118BCFFAB95675B48BBAC9005CF6514656EBDAD979276B3AB,INTEGRATED
Race.Restart,switch_006.ogg,switch_004.ogg,open_001.ogg,EVT_Race_Restart_CHOSEN.ogg,Kenney,https://kenney.nl/assets/interface-sounds,CC0,2676DDC4E341EE557B4D1DC8767EF8655540D66FB3DED6A1614080DBC4DC6F18,INTEGRATED
UI.Hover,scroll_001.ogg,scroll_002.ogg,select_001.ogg,EVT_UI_Hover_CHOSEN.ogg,Kenney,https://kenney.nl/assets/interface-sounds,CC0,320C6AAFB2C7A503EAE508DC443B72D7F7C0A317BFD16813157ED400CD04CF16,IMPORTED_DISABLED
UI.Click,click_003.ogg,click_002.ogg,click_005.ogg,EVT_UI_Click_CHOSEN.ogg,Kenney,https://kenney.nl/assets/interface-sounds,CC0,2FA929138BC3A0F432696588F66EAC94B8F6D463905EC8808C6461CE4B054292,INTEGRATED
UI.Confirm,confirmation_003.ogg,confirmation_001.ogg,confirmation_004.ogg,EVT_UI_Confirm_CHOSEN.ogg,Kenney,https://kenney.nl/assets/interface-sounds,CC0,3091BF0BE0497F825769EE0733CA7BDC3BCD59BD6C6E8F2BA8F93D580FF38022,INTEGRATED
UI.Back,back_002.ogg,back_001.ogg,back_004.ogg,EVT_UI_Back_CHOSEN.ogg,Kenney,https://kenney.nl/assets/interface-sounds,CC0,61581C58194E3F19F531072EDABBC344204C7E0A2887B8EDEDCE4357BCF09195,INTEGRATED
UI.SelectionChanged,select_006.ogg,select_004.ogg,select_008.ogg,EVT_UI_SelectionChanged_CHOSEN.ogg,Kenney,https://kenney.nl/assets/interface-sounds,CC0,B44550FA8D3276C072CE7C3C1315D949F7A28A95BC22B3618AD4EEA62EAC8ABE,INTEGRATED
